epoch,client_count,active_client_count,active_edge_count,client_vote_consensus_ratio,active_client_vote_consensus_ratio,within_edge_vote_consensus_ratio,edge_vote_consensus_ratio,client_vote_entropy_norm,client_label_consensus_score,active_client_vote_entropy_norm,active_client_label_consensus_score,edge_vote_entropy_norm,edge_label_consensus_score,client_probability_divergence_gjs,client_probability_consensus_score,active_client_probability_divergence_gjs,active_client_probability_consensus_score,within_edge_probability_divergence_gjs,within_edge_probability_consensus_score,edge_probability_divergence_gjs,edge_probability_consensus_score,client_cloud_js_divergence,client_cloud_alignment_score,edge_cloud_js_divergence,edge_cloud_alignment_score,client_cloud_label_agreement,edge_cloud_label_agreement,majority_cloud_label_match,client_mean_confidence,cloud_confidence,cloud_entropy_norm,cloud_margin,majority_label,cloud_predicted_label,true_label,soft_consensus,strong_consensus,cloud_correct,correct_soft_consensus,wrong_soft_consensus,correct_strong_consensus,wrong_strong_consensus,train_acc,train_loss,test_acc,test_loss
27,37,37,5,0.2432432432,0.2432432432,0.4324324324,0.4000000000,0.8092464244,0.1907535756,0.8092464244,0.1907535756,0.4581460078,0.5418539922,0.3407074086,0.6592925914,0.3407074086,0.6592925914,0.2722102652,0.7277897348,0.0719057801,0.9280942199,0.2621641045,0.7378358955,0.0649430146,0.9350569854,0.2432432432,0.4000000000,1,0.5920617504,0.2460067999,0.8568812093,0.0195354830,4,4,,0,0,,,,,,0.8519000000,0.5079662133,0.8583000000,0.4916439014
28,37,23,4,0.9459459459,0.9130434783,0.9130434783,1.0000000000,0.1075968172,0.8924031828,0.1544841321,0.8455158679,-0.0000000000,1.0000000000,0.0942311763,0.9057688237,0.1045686131,0.8954313869,0.0735329901,0.9264670099,0.0042965428,0.9957034572,0.0648316563,0.9351683437,0.0037374720,0.9962625280,0.9459459459,1.0000000000,1,0.8669941931,0.9768985196,0.0666446665,0.9715539079,1,1,,1,1,,,,,,0.8215833333,0.5449079330,0.8301000000,0.5290650297
29,37,34,6,0.4054054054,0.4411764706,0.5000000000,0.6666666667,0.5652479373,0.4347520627,0.5634690235,0.4365309765,0.2764345909,0.7235654091,0.3618887240,0.6381112760,0.3721178493,0.6278821507,0.2942547158,0.7057452842,0.0794800537,0.9205199463,0.3012357239,0.6987642761,0.0749152880,0.9250847120,0.4054054054,0.3333333333,1,0.7957532492,0.4827263334,0.4862080987,0.0905230935,5,5,,0,0,,,,,,0.8522500000,0.4926650071,0.8588000000,0.4768333533
30,37,13,3,0.8918918919,0.7692307692,0.7692307692,1.0000000000,0.1751659462,0.8248340538,0.2984002761,0.7015997239,-0.0000000000,1.0000000000,0.1263405679,0.8736594321,0.1392154255,0.8607845745,0.1132338376,0.8867661624,0.0083775017,0.9916224983,0.1010960495,0.8989039505,0.0094029452,0.9905970548,0.8918918919,1.0000000000,1,0.7797505977,0.9628048162,0.1000996627,0.9526018633,1,1,,1,1,,,,,,0.8621500000,0.4763602399,0.8700000000,0.4548827198
31,37,32,3,0.7297297297,0.7500000000,0.7500000000,1.0000000000,0.3966938420,0.6033061580,0.3419631091,0.6580368909,-0.0000000000,1.0000000000,0.2253753504,0.7746246496,0.2113459270,0.7886540730,0.1945936906,0.8054063094,0.0120261380,0.9879738620,0.1753346034,0.8246653966,0.0100227019,0.9899772981,0.7297297297,1.0000000000,1,0.7725819736,0.8758330079,0.2567909085,0.8232737194,1,1,,1,0,,,,,,0.8599000000,0.4724561619,0.8651000000,0.4562330151
32,37,29,6,0.7297297297,0.7241379310,0.7241379310,1.0000000000,0.3638096183,0.6361903817,0.3439320430,0.6560679570,-0.0000000000,1.0000000000,0.1891540935,0.8108459065,0.1891668046,0.8108331954,0.1369946813,0.8630053187,0.0544492323,0.9455507677,0.1458239615,0.8541760385,0.0498635609,0.9501364391,0.7297297297,1.0000000000,1,0.6920647877,0.7744042918,0.4140309855,0.6963209833,5,5,,1,0,,,,,,0.8626666667,0.4645001479,0.8680000000,0.4488038547
33,37,26,3,0.7027027027,0.6923076923,0.6923076923,1.0000000000,0.4151656556,0.5848343444,0.3883650747,0.6116349253,-0.0000000000,1.0000000000,0.1622456978,0.8377543022,0.1609484302,0.8390515698,0.1469017690,0.8530982310,0.0170307294,0.9829692706,0.1238879381,0.8761120619,0.0145974352,0.9854025648,0.7027027027,1.0000000000,1,0.6665822132,0.7573791846,0.4296977844,0.6773483325,1,1,,1,0,,,,,,0.8666000000,0.4501324037,0.8718000000,0.4352916575
34,37,36,6,0.4864864865,0.5000000000,0.5277777778,0.6666666667,0.6381022279,0.3618977721,0.6349996513,0.3650003487,0.3767779228,0.6232220772,0.3031076096,0.6968923904,0.3061027503,0.6938972497,0.2396425492,0.7603574508,0.0737924778,0.9262075222,0.2344485211,0.7655514789,0.0651817444,0.9348182556,0.4864864865,0.6666666667,1,0.6334919601,0.5573847977,0.6303395572,0.4199956423,4,4,,0,0,,,,,,0.8686000000,0.4422477045,0.8750000000,0.4259919386
35,37,37,6,1.0000000000,1.0000000000,1.0000000000,1.0000000000,-0.0000000000,1.0000000000,-0.0000000000,1.0000000000,-0.0000000000,1.0000000000,0.0797784440,0.9202215560,0.0797784440,0.9202215560,0.0628785236,0.9371214764,0.0055383260,0.9944616740,0.0577032804,0.9422967196,0.0047801861,0.9952198139,1.0000000000,1.0000000000,1,0.8369346032,0.9525374177,0.1235476618,0.9403911591,1,1,,1,1,,,,,,0.8708333333,0.4356149600,0.8776000000,0.4189566895
36,37,37,5,0.9729729730,0.9729729730,0.9729729730,1.0000000000,0.0539614531,0.9460385469,0.0539614531,0.9460385469,-0.0000000000,1.0000000000,0.0808339776,0.9191660224,0.0808339776,0.9191660224,0.0594885601,0.9405114399,0.0045579486,0.9954420514,0.0485014002,0.9514985998,0.0046516436,0.9953483564,0.9729729730,1.0000000000,1,0.9319859623,0.9937994835,0.0205736840,0.9911390660,6,6,,1,1,,,,,,0.8731500000,0.4277371886,0.8789000000,0.4111752400
37,37,34,5,0.9729729730,0.9705882353,0.9705882353,1.0000000000,0.0539614531,0.9460385469,0.0576271519,0.9423728481,-0.0000000000,1.0000000000,0.1200020519,0.8799979481,0.1266165643,0.8733834357,0.1032047708,0.8967952292,0.0429778749,0.9570221251,0.0895528896,0.9104471104,0.0354747140,0.9645252860,0.9729729730,1.0000000000,1,0.7495745318,0.9030008632,0.2202330324,0.8789531654,1,1,,1,1,,,,,,0.8705333333,0.4294848798,0.8768000000,0.4133278467
38,37,20,3,0.5135135135,0.6000000000,0.6000000000,1.0000000000,0.5401264650,0.4598735350,0.4615410616,0.5384589384,-0.0000000000,1.0000000000,0.2915994618,0.7084005382,0.2776192240,0.7223807760,0.2265372430,0.7734627570,0.0348424830,0.9651575170,0.2379370797,0.7620629203,0.0308523995,0.9691476005,0.5135135135,1.0000000000,1,0.7615957094,0.6733280945,0.4359663539,0.4675319891,5,5,,0,0,,,,,,0.8701000000,0.4240675171,0.8762000000,0.4051255953
39,37,30,5,0.8648648649,0.9000000000,0.9000000000,1.0000000000,0.2339066082,0.7660933918,0.1688252006,0.8311747994,-0.0000000000,1.0000000000,0.1429306098,0.8570693902,0.1290333886,0.8709666114,0.0899240272,0.9100759728,0.0125253859,0.9874746141,0.0984659040,0.9015340960,0.0111324774,0.9888675226,0.8648648649,1.0000000000,1,0.8343230371,0.9653250107,0.0936863018,0.9568178525,1,1,,1,1,,,,,,0.8731833333,0.4189738401,0.8799000000,0.4032205976
40,37,0,0,0.9459459459,,,,0.0913249256,0.9086750744,,,,,0.0901079192,0.9098920808,,,,,,,0.0588636399,0.9411363601,,,0.9459459459,,1,0.8782627918,0.9695218541,0.0851077119,0.9621532613,1,1,,1,1,,,,,,0.8731833333,0.4189738401,0.8799000000,0.4032205976
41,37,25,6,0.2432432432,0.2400000000,0.3600000000,0.5000000000,0.8355182076,0.1644817924,0.8558506109,0.1441493891,0.5395906230,0.4604093770,0.4103684090,0.5896315910,0.4010382221,0.5989617779,0.2715886312,0.7284113688,0.2471861159,0.7528138841,0.3287548976,0.6712451024,0.2203792338,0.7796207662,0.2432432432,0.1666666667,1,0.5851445755,0.2586786606,0.8426723266,0.0456992862,2,2,,0,0,,,,,,0.8730000000,0.4131616815,0.8798000000,0.3981389476
42,37,27,5,0.8918918919,0.9259259259,0.9259259259,1.0000000000,0.1975795617,0.8024204383,0.1146763490,0.8853236510,-0.0000000000,1.0000000000,0.1219758099,0.8780241901,0.1008096604,0.8991903396,0.0739366077,0.9260633923,0.0044301805,0.9955698195,0.0774851284,0.9225148716,0.0040997073,0.9959002927,0.8918918919,1.0000000000,1,0.8669362859,0.9898943802,0.0329771709,0.9870319063,1,1,,1,1,,,,,,0.8762833333,0.4039961541,0.8831000000,0.3873912133
