round,agreement,certainty,effective_consensus,effective_consensus_ma,consensus_attainment_rate
61,0.8202106928913787,0.7593369636883798,0.6228162971248816,0.6474210533854878,0.6654971290176329
62,0.9286577366555364,0.775833208272888,0.7204835112169036,0.6540685264692333,0.6654971290176329
63,0.8423051336027654,0.5047298230787203,0.4251365210616216,0.6316988723362739,0.6654971290176329
64,0.9806342007027697,0.9476468155803367,0.9292948775451485,0.6690772790598789,0.6690772790598789
65,0.8700820118025528,0.769810771676038,0.6697985049271628,0.6824595114674435,0.6824595114674435
66,0.9370692620460714,0.9246338110304012,0.8664459229651047,0.6762492654932543,0.6824595114674435
67,0.9289837451492777,0.8689080558380063,0.8072014599027688,0.7003760596516205,0.7003760596516205
68,0.9404379997004408,0.8160151755161267,0.7674116793875904,0.678177474964446,0.7003760596516205
69,0.9535528070924131,0.8820566109138646,0.841087557351336,0.7262771868613564,0.7262771868613564
70,0.8938503134174278,0.7929740027291022,0.7088000608712803,0.73584763923538,0.73584763923538
71,0.9871447529710042,0.9359433073880906,0.9239115249664814,0.76595716201954,0.76595716201954
72,0.9415247298261883,0.4989321503493245,0.4697569580592469,0.7408845067037741,0.76595716201954
73,0.9264674686800674,0.25254771580454016,0.23397724298236536,0.7217685788958484,0.76595716201954
74,0.862592932444618,0.5919193166156899,0.5105854190901422,0.6798976330503479,0.76595716201954
75,0.9306701075335672,0.7509931587611256,0.6989268838211901,0.6828104709397507,0.76595716201954
76,0.90953775710136,0.7522721480009857,0.6842199222226389,0.6645878708655041,0.76595716201954
77,0.9317473188757236,0.830200291012325,0.7735368952805792,0.6612214144032851,0.76595716201954
78,0.9460132497981206,0.8815072142562911,0.8339175044790821,0.6678719969124343,0.76595716201954
79,0.9854625627626418,0.9217171295714937,0.9083177246497501,0.6745950136422757,0.76595716201954
80,0.9612347922780445,0.9041840249032933,0.8691331433590433,0.690628321891052,0.76595716201954
81,0.9429445465165713,0.5636483546968949,0.5314891422144751,0.6513860836158514,0.76595716201954
82,0.8654966106132792,0.7569752489693842,0.6551595123011452,0.6699263390400413,0.76595716201954
83,0.8961353156680453,0.6199933300497413,0.5555979185362075,0.7020884065954254,0.76595716201954
84,0.9066134866876125,0.7380173858589694,0.6690965154296773,0.7179395162293789,0.76595716201954
85,0.8548115577228755,0.6102738147473414,0.5216691102216565,0.7002137388694256,0.76595716201954
86,0.8771054043269811,0.6959154080349134,0.6103911653418388,0.6928308631813456,0.76595716201954
87,0.915993373956578,0.5155220104743523,0.4722147457232803,0.6626986482256157,0.76595716201954
88,0.8845957361317147,0.714453485965398,0.632002507349431,0.6425071485126506,0.76595716201954
89,0.863210686996963,0.6638042583038966,0.5730029298420161,0.608975669031877,0.76595716201954
90,0.9682825761858009,0.9215525610053701,0.8923232878609022,0.6112946834820631,0.76595716201954
91,0.9011460145694598,0.6267005233478391,0.5647486789434999,0.6146206371549655,0.76595716201954
92,0.963002712894078,0.7964773594557962,0.7670098579146435,0.6258056717163153,0.76595716201954
93,0.8985181311719987,0.2624296134243984,0.23579776581828055,0.5938256564445226,0.76595716201954
94,0.9967257315341356,0.9746279582289691,0.9714367646393901,0.624059681365494,0.76595716201954
95,0.9888455330624437,0.933751253437321,0.9233357559529527,0.6642263459386236,0.76595716201954
96,0.8851056269124815,0.7370763757468608,0.652390447637805,0.6684262741682202,0.76595716201954
97,0.8992696190209332,0.7934562045594405,0.7135310587839637,0.6925579054742885,0.76595716201954
98,0.868078590934111,0.4054987983600583,0.35200482550587464,0.6645581372899328,0.76595716201954
99,0.954432313538291,0.6762473991390954,0.645432369684579,0.6718010812741891,0.76595716201954
100,0.7866471365795612,0.6312949490282135,0.49660636399018415,0.6322293888871173,0.76595716201954
101,0.9958871483729443,0.9711645542450449,0.9671702985279794,0.6724715508455653,0.76595716201954
102,0.8625513324871467,0.8737712500889605,0.7536725560531927,0.6711378206594203,0.76595716201954
103,0.9417358348479343,0.863012492133064,0.8127297897631274,0.728831023053905,0.76595716201954
104,0.9686438902610365,0.8839540864555125,0.8562367251164082,0.7173110191016068,0.76595716201954
105,0.9717603236624426,0.8252329469478441,0.8019286356229482,0.7051703070686063,0.76595716201954
106,0.9916877430559627,0.9757851165549712,0.967674139943999,0.7366986762992257,0.76595716201954
107,0.8965981325197141,0.8013129425577796,0.7184556878611822,0.7371911392069476,0.76595716201954
108,0.9714781807797513,0.8991637984817825,0.873518011172093,0.7893424577735695,0.7893424577735695
109,0.9645499900442979,0.9206695978978603,0.8880318514864689,0.8136024059537584,0.8136024059537584
110,0.8674775975030327,0.7491133636177556,0.6498390609285464,0.8289256756475947,0.8289256756475947
111,0.8848557293842493,0.7202771276277502,0.6373413431258449,0.7959427801073812,0.8289256756475947
112,0.8940593854791529,0.7859188292072328,0.7026581054775138,0.7908413350498132,0.8289256756475947
113,0.8933372935410209,0.5226057174618459,0.46686317722642884,0.7562546737961434,0.8289256756475947
114,0.9205978508943522,0.8291153563635192,0.7632818152117608,0.7469591828056786,0.8289256756475947
115,0.8913884512306843,0.6936521545200902,0.6183135197104905,0.7285976712144328,0.8289256756475947
116,0.9534890749800795,0.9233841170945648,0.880436667659794,0.7198739239860124,0.8289256756475947
117,0.8473334272717776,0.4438328222438169,0.3760743864075591,0.6856357938406501,0.8289256756475947
118,0.8860517701302086,0.7233742743177474,0.6409470562258952,0.6623786983460302,0.8289256756475947
119,0.8953823308692206,0.8912827417647904,0.7980388187848676,0.6533793950758702,0.8289256756475947
120,0.9972776754009134,0.9917891231829986,0.989089151255851,0.6873044041086006,0.8289256756475947
121,0.9817811283750142,0.9557007967643975,0.9382890066362503,0.7173991704596412,0.8289256756475947
122,0.916834161450533,0.7150219181784392,0.6555565207718809,0.7126890119890779,0.8289256756475947
123,0.9902019164061848,0.9302479103767132,0.9211332635878703,0.758116020625222,0.8289256756475947
124,0.9989614752177446,0.9926459920573016,0.9916151045945436,0.7809493495635003,0.8289256756475947
125,0.9711465075522272,0.8936648838153561,0.86787953083935,0.8059059506763862,0.8289256756475947
126,0.917534372304586,0.8690144558136723,0.7973506332386092,0.7975973472342679,0.8289256756475947
127,0.9169076182438692,0.8360482608486319,0.7665790195916482,0.8366478105526769,0.8366478105526769
128,0.847337996871919,0.5112778522552501,0.4332251511749406,0.8158756200475814,0.8366478105526769
129,0.9486836669605384,0.7492095071117879,0.7107628225285085,0.8071480204219453,0.8366478105526769
130,0.8860803396318251,0.8354505756145716,0.7402763297861633,0.7822667382749766,0.8366478105526769
131,0.9259291132117113,0.6983902973562317,0.646659908706719,0.7531038284820235,0.8366478105526769
132,0.9482408601447818,0.5479516993813865,0.5195901907392009,0.7395071954787555,0.8366478105526769
133,0.9979823462444048,0.9900818959141814,0.9880842534585433,0.7462022944658228,0.8366478105526769
134,0.9948633560674204,0.9734789030345332,0.9684784885337666,0.7438886328597449,0.8366478105526769
135,0.9351062727212036,0.7319304869819849,0.6844327895727393,0.7255439587330841,0.8366478105526769
136,0.9981263630464273,0.9911145325335132,0.9892575437201355,0.7447346497812367,0.8366478105526769
137,0.826404047213897,0.556672178825567,0.4600361415528268,0.7140803619773545,0.8366478105526769
138,0.9683817060589709,0.8848875500182093,0.8569089153569764,0.7564487383955579,0.8366478105526769
139,0.9667810238689283,0.8900796462511354,0.8605121117275663,0.7714236673154637,0.8366478105526769
140,0.9342537604010859,0.7287908929082294,0.6808756322455783,0.7654835975614052,0.8366478105526769
141,0.9092872541135865,0.49651851918577505,0.4514779609269775,0.745965402783431,0.8366478105526769
142,0.945202250430246,0.7586392651225807,0.7170675406586113,0.7657131377753723,0.8366478105526769
143,0.9999406191114479,0.99943455777749,0.9993752104653996,0.766842233476058,0.8366478105526769
144,0.7801709115956428,0.5049213477977889,0.39392494819550156,0.7093868794422313,0.8366478105526769
145,0.8755623698899548,0.756422028119352,0.662294663577146,0.7071730668426719,0.8366478105526769
146,0.957559896857252,0.9176570798254868,0.8787116187080202,0.6961184743414605,0.8366478105526769
147,0.9396773049158,0.7297838021724081,0.6857612763965738,0.7186909878258351,0.8366478105526769
148,0.9982120423813968,0.9846996955614414,0.9829390942387262,0.73129400571401,0.8366478105526769
149,0.871671764011285,0.7645594297600418,0.6664448668303977,0.7118872812242932,0.8366478105526769
150,0.986664089638379,0.9591508225912606,0.9463596731979086,0.7384356853195263,0.8366478105526769
151,0.969526158391095,0.9033301319925361,0.8758021926296443,0.7808681084897929,0.8366478105526769
152,0.7971022548651576,0.6402198159516226,0.5103206589043946,0.7601934203143712,0.8366478105526769
153,0.887043133128709,0.8368445764018634,0.7423172349932762,0.734487622767159,0.8366478105526769
154,0.9838161304745796,0.9438424401031374,0.9285674171999538,0.7879518696676042,0.8366478105526769
155,0.952260514819401,0.8537372883661374,0.8129803097400574,0.8030204342838952,0.8366478105526769
156,0.8965138787893703,0.7145238146124043,0.6405805165255435,0.7792073240656476,0.8366478105526769
157,0.9527043298347755,0.9083910344025279,0.8654280716583788,0.7971740035918282,0.8366478105526769
158,0.9922217593955543,0.9331493258445035,0.9258910658682087,0.7914692007547764,0.8366478105526769
159,0.9135124029355062,0.7573934443943995,0.6918883053563275,0.7940135446073693,0.8366478105526769
160,0.969402596099788,0.91259592551464,0.8846728593839807,0.7878448632259765,0.8366478105526769
161,0.8116577383471377,0.6879350077008374,0.5583677724802825,0.7561014212110404,0.8366478105526769
162,0.9388750865016326,0.7836405282993126,0.7357405687932023,0.7786434121999211,0.8366478105526769
163,0.9791614072343363,0.8816052842892665,0.8632338707899053,0.7907350757795841,0.8366478105526769
164,0.9171249227417575,0.8578888915703523,0.7867912834024713,0.7765574623998358,0.8366478105526769
165,0.9388157327604119,0.6008480543439622,0.5640856064165946,0.7516679920674896,0.8366478105526769
166,0.9996635923738506,0.9957737378272766,0.9954387519479523,0.7871538156097304,0.8366478105526769
167,0.7797168411599228,0.6602936585894862,0.5148420857133227,0.7520952170152249,0.8366478105526769
168,0.9275108030464433,0.8377307153672271,0.7770042885469283,0.7372065392830969,0.8366478105526769
169,0.9483285230685088,0.6807911851664811,0.6456136991469886,0.7325790786621629,0.8366478105526769
170,0.9843168370083687,0.9713609038328097,0.9561268924543015,0.739724481969195,0.8366478105526769
171,0.9748782756356362,0.9005314132223076,0.8779085112778858,0.7716785558489553,0.8366478105526769
172,0.9680349081030526,0.9056573410591134,0.8767079209250138,0.7857752910621365,0.8366478105526769
173,0.99038637813572,0.9720314630478042,0.9626867201218797,0.7957205759953339,0.8366478105526769
174,0.9141167960197987,0.6981583827084648,0.6381983039158262,0.7808612780466695,0.8366478105526769
175,0.9717406749578443,0.78041073848481,0.7583568577595791,0.8002884031809678,0.8366478105526769
176,0.9945411244740184,0.9153334759103955,0.9103367844006366,0.7917782064262362,0.8366478105526769
177,0.9964344801576941,0.9705865977702908,0.9671259519972646,0.8370065930546304,0.8370065930546304
178,0.9868512099324159,0.9253801348181169,0.9132125056926809,0.8506274147692058,0.8506274147692058
179,0.979672033085863,0.9314819396622753,0.9125468056117044,0.8773207254156773,0.8773207254156773
180,0.9012568311523736,0.8309459715601446,0.7488957331871263,0.8565976094889598,0.8773207254156773
181,0.9953020601071503,0.9772054723028788,0.972614619731036,0.8660682203342748,0.8773207254156773
182,0.9485948997030751,0.8114956877275923,0.7697806705094333,0.8553754952927167,0.8773207254156773
183,0.9935275654847318,0.9654471429302692,0.9591983495197003,0.8550266582324988,0.8773207254156773
184,0.9877992066096937,0.9574829887923961,0.9458009366714071,0.8857869215080568,0.8857869215080568
185,0.9981324756843999,0.9881244994488935,0.9862791529193324,0.9085791510240324,0.9085791510240324
